cell	verdict	evidence
exp_reader_labeled_arc_candidate_filter_v1	PASS	CI only
exp_agreement_depth_productivity_generalization_v1	HARD_PASS_DEPTH_PRODUCTIVE	CI+FLOOR
exp_bootstrap_passage_context_binding_fade_v4	HARD_FAIL_PARTIAL_passage_binding_no_tag	CI+FLOOR
exp_context_vector_signal_v1	HARD_PASS	CI+FLOOR
exp_graded_divisive_comparator_v1	HARD_PASS	CI+FLOOR
exp_grounding_acquisition_loop_v1	HARD_PASS	CI+FLOOR
exp_grounding_by_redundancy_joint_corruption_allometry_v1	HARD_PASS	CI+FLOOR
exp_grounding_quality_readout_v1	STRUCTURAL_PASS_PENDING_B3	CI+FLOOR
exp_learner_mdl_gate_on_acquisition_traces_v1	HARD_PASS	CI+FLOOR
exp_parser_uas_headroom_leakhunt_v1	SATURATED_29402_HOLDS	CI+FLOOR
exp_read_xsent_coref_distractor_suppress_v1	HARD_PASS	CI+FLOOR
exp_read_xsent_coref_scene_protagonist_v1	HARD_PASS	CI+FLOOR
exp_substrate_director_kb_language_trio_v1	HARD_PASS	CI+FLOOR
exp_three_tier_loop_concept_coherence_v1	HARD_PASS_concept_coherence_unblocks_cro	CI+FLOOR
exp_three_tier_loop_independence_weighted_confirm_v1	HARD_PASS_independence_weighted_corrobor	CI+FLOOR
exp_three_tier_loop_real_corpus_gap_stream_v1	HARD_PASS_three_tier_dynamics_load_beari	CI+FLOOR
cskg_foundation_v1	HARD_PASS	FLOOR only
exp_active_learning_loop_gap_detect_lookup_revise_v2	HARD_PASS	FLOOR only
exp_affect_state_bridging_inference_v1	HARD_PASS	FLOOR only
exp_arc_knowledge_scale_ingest_climb_v1	CLIMB_PASS	FLOOR only
exp_base_reader_grounded_relations_coref_v1	HARD_PASS	FLOOR only
exp_breadth_foundation_active_growth_loop_ud_ewt_v1	HARD_PASS	FLOOR only
exp_bridge1_confirmation_test_v1	RULING_CONFIRMED	FLOOR only
exp_bridge1_governor_grounding_v1	HARD_PASS	FLOOR only
exp_bridge1_original_failure_payoff_v1	HARD_PASS	FLOOR only
exp_bridge1_twostage_event_situation_v2	HARD_PASS	FLOOR only
exp_c5_generative_goal_typing_action_frame_v1	HARD_PASS_GENERATIVE_GOAL_TYPING_RECOVER	FLOOR only
exp_c5_multigoal_content_coherence_tiebreak_v1	HARD_PASS	FLOOR only
exp_c5_primacy_trap_endtoend_goal_coherence_candidate_gen_v1	HARD_PASS	FLOOR only
exp_c5_real_coref_endtoend_v1	MIDDLE_BAND_SMALL_N_WOULD_BE_HARD_PASS	FLOOR only
exp_causal_link_comprehension_fuller_v2	HARD_PASS	FLOOR only
exp_causal_link_comprehension_fuller_v3_cleaned	HARD_PASS	FLOOR only
exp_causal_link_comprehension_pilot_v1	HARD_PASS	FLOOR only
exp_cls_read_sleep_foundation_acquire_v1	HARD_PASS	FLOOR only
exp_codex_unexpectedness_incremental_value_v1	HARD_PASS_UNEXPECTEDNESS_ADDS_NONREDUNDA	FLOOR only
exp_coherence_role_compat_score_selector_v1	HARD_PASS_ROLE_COMPAT_SCORE_MECHANISM_CA	FLOOR only
exp_compgen_binding_vs_flat_learned_frontend_v1	HARD_PASS	FLOOR only
exp_component5_gold_role_isolated_v1	MIDDLE_BAND_SMALL_N_WOULD_BE_HARD_PASS	FLOOR only
exp_component5_wired_endtoend_v1	MIDDLE_BAND_SMALL_N_WOULD_BE_HARD_PASS	FLOOR only
exp_coref_animacy_prefilter_lccp_break050_v1	P1:HARD_FAIL_1_ANIMACY_DOES_NOT_HELP | P	FLOOR only
exp_coref_encoder_transfer_v1	HARD_PASS	FLOOR only
exp_coref_margin_gated_cleanup_local_window_break050_v1	A:HARD_FAIL_A_NET_BREAKAGE | B:HARD_PASS	FLOOR only
exp_coref_salience_rank_topicality_v1	HARD_PASS_SALIENCE_RANK_CONFIRMED	FLOOR only
exp_cortex_integration_m16_attention_router_v1	HARD_PASS	FLOOR only
exp_cskg_foundation_v1	HARD_PASS	FLOOR only
exp_curriculum_prerequisite_scaffold_consolidation_v1	HARD_PASS_curriculum_prerequisite_scaffo	FLOOR only
exp_definitional_grounding_v3	STRUCTURAL_PASS_PENDING_B3	FLOOR only
exp_definitional_predicate_v61	STRUCTURAL_PASS_PENDING_HANDSCORE	FLOOR only
exp_desiderative_negation_channel_v1	HARD_PASS	FLOOR only
exp_direction_b_union_wire_v1	HARD_PASS	FLOOR only
exp_earn_coref_match_or_allocate_dense_v1	HARD_PASS_LEARNABLE_BEATS_BOTH_FLOORS_ON	FLOOR only
exp_evaluative_bridging_inference_v1	HARD_PASS	FLOOR only
exp_focus_pullin_causal_stage15_salted_cardinality_gate_v1	HARD_PASS	FLOOR only
exp_focus_pullin_causal_stage1_micro_world_v1	HARD_PASS	FLOOR only
exp_focus_pullin_causal_stage2a_multihop_loop_v1	HARD_PASS	FLOOR only
exp_foundation_validation_harness_v1	HARD_PASS_foundation_validated	FLOOR only
exp_foundation_validation_harness_v4_proximity_v1	HARD_PASS	FLOOR only
exp_frame_primary_role_assigner_v1	HARD_PASS	FLOOR only
exp_gap_detection_autonomous_confidence_v1	HARD_PASS	FLOOR only
exp_gap_driven_reader_controlled_v1	HARD_PASS	FLOOR only
exp_gated_fusion_text_grounding_encoder_seed_13	SINGLE_SEED_MEASURED_GATES_PASS	FLOOR only
exp_gated_fusion_text_grounding_encoder_seed_7	SINGLE_SEED_MEASURED_GATES_PASS	FLOOR only
exp_grammar_learner_filler_generalization_v1	HARD_PASS_FILLER_GENERALIZES_CONFIRMATOR	FLOOR only
exp_grounding_gated_fusion_relation_inference_mammal_v1	HARD_PASS_GATED_FUSION_RECOVERS_GROUNDIN	FLOOR only
exp_grounding_text_vs_mechanism	STRUCTURAL_PASS_PENDING_B3	FLOOR only
exp_information_foraging_reading_v1	HARD_PASS	FLOOR only
exp_integrated_vote_role_decision_oracle_gold_v1	HARD_PASS_INTEGRATION_COMPLEMENTARY	FLOOR only
exp_interactive_loop_real_gold_mcguffey_v1	HARD_PASS_INTERACTIVE_RESOLVES_QUOTATIVE	FLOOR only
exp_kb_partition_by_source_class_v4_calibrated	HARD_PASS	FLOOR only
exp_learn_context_affect_map_from_exposure_v1	HARD_PASS	FLOOR only
exp_learner_implicative_sign_supplied_generalization_v1	HARD_PASS_BEYOND_LINEAR_NOT_BEYOND_SIMIL	FLOOR only
exp_learner_module_refactor_proof_v1	HARD_PASS_REFACTOR_PROVEN	FLOOR only
exp_mcguffey_whoaffected_wsd_frame_selectional_v1	HARD_PASS_WSD	FLOOR only
exp_metacog_abstain_conformal_transfer_v1	HARD_PASS_CONFORMAL_THRESHOLD_TRANSFERS_	FLOOR only
